pool_address,network,dex,group,discovered_at_utc,pool_created_at,reason,sampling_probability,tracking_until_utc
DA4pM4xSDY4M9V4CgAKKBVH1pw1yscTQQa5nEkGHuKpt,solana,PumpSwap,trending,2026-09-23T01:51:13.601407+00:00,2026-08-28T13:33:11Z,trending_rank_9,1.0,2026-09-25T01:51:13.601407+00:00
4iVHkn5WhmGwrKb2fYFNPnTkqhwYTEEezvsju9YEBY76,solana,Meteora,trending,2026-09-23T01:51:13.601407+00:00,2026-09-11T20:56:40Z,trending_rank_18,1.0,2026-09-25T01:51:13.601407+00:00
6HAzRJ6TGxLs3m7ybzq2cjbNcKwbKgd69kjc1eKT4hkF,solana,Meteora DAMM V2,random_new,2026-09-23T01:51:13.601407+00:00,2026-09-23T01:50:01Z,new_pools_sampled_p=0.25,0.25,2026-09-25T01:51:13.601407+00:00
55Rs11dgHcsSHzkTANyN8DXQArKjwe3CLwTG2UbxwsoZ,solana,Pump.fun,random_new,2026-09-23T01:51:13.601407+00:00,2026-09-23T01:49:49Z,new_pools_sampled_p=0.25,0.25,2026-09-25T01:51:13.601407+00:00
6wdmsooo7WwcqSRhZAEsvtuEbdr5YjpcTM97Gg8mL9iy,solana,Meteora DAMM V2,random_new,2026-09-23T01:51:13.601407+00:00,2026-09-23T01:49:41Z,new_pools_sampled_p=0.25,0.25,2026-09-25T01:51:13.601407+00:00
5Z7F8pnDt34GFpSha95gBMvfbKqpLxbFy3j4UAzJHrmx,solana,Meteora DBC,random_new,2026-09-23T01:51:13.601407+00:00,2026-09-23T01:49:35Z,new_pools_sampled_p=0.25,0.25,2026-09-25T01:51:13.601407+00:00
DkM45P8NbU7ufLUQ6mjZn2wCVw7b7fks22LUZr4QMaKu,solana,PumpSwap,random_new,2026-09-23T01:51:13.601407+00:00,2026-09-23T01:49:26Z,new_pools_sampled_p=0.25,0.25,2026-09-25T01:51:13.601407+00:00
HCAZia1gVGy1hrfWR2FyLAXZFzC1REfDcPwC2MHao5rm,solana,PumpSwap,trending,2026-09-23T06:48:15.179778+00:00,2026-08-04T01:28:30Z,trending_rank_13,1.0,2026-09-25T06:48:15.179778+00:00
8PSKpEDnA1tPk5EHrbUJ9FkeuyPTDbUbMAENtpEEEU7t,solana,PumpSwap,random_new,2026-09-23T06:48:15.179778+00:00,2026-09-23T06:45:17Z,new_pools_sampled_p=0.25,0.25,2026-09-25T06:48:15.179778+00:00
Ck4SsGEQ3bRss6kXorNg8PHcoZwfCEj7xSVwTu9VWGBf,solana,Pump.fun,random_new,2026-09-23T06:48:15.179778+00:00,2026-09-23T06:45:08Z,new_pools_sampled_p=0.25,0.25,2026-09-25T06:48:15.179778+00:00
Gxab7HAVu4Zm5Yz8R1P9mgWW4RdNZhuhjADsLBy1oXTk,solana,Raydium Launchlab,random_new,2026-09-23T06:48:15.179778+00:00,2026-09-23T06:45:08Z,new_pools_sampled_p=0.25,0.25,2026-09-25T06:48:15.179778+00:00
FhW8Rri8Bb6w2L2biHbV4xs7VCbE5ubc8ix7kAS5e1bp,solana,Meteora DAMM V2,random_new,2026-09-23T06:48:15.179778+00:00,2026-09-23T06:45:06Z,new_pools_sampled_p=0.25,0.25,2026-09-25T06:48:15.179778+00:00
7eSZXYsLTvDXgMnbK5Jxw1rU4yXBNK5hwkKsz6fkGGEf,solana,Pump.fun,random_new,2026-09-23T06:48:15.179778+00:00,2026-09-23T06:45:01Z,new_pools_sampled_p=0.25,0.25,2026-09-25T06:48:15.179778+00:00
